id;HORMIGUERO;SITIO;MES;ESPECIE_VEGETAL;ESTADO;ORGANO;ocurrencias
ID001;H1;V;OCT;sin;seco;fruto;3
ID002;H6;V;OCT;sin;seco;tallo;1
ID003;H9;V;OCT;Y;verde;hoja;9
ID004;H9;V;OCT;Y;verde;flor;1
ID005;H5;V;OCT;sin;seco;tallo;1
ID006;H10;M;OCT;AF;verde;hoja;3
ID007;H10;M;OCT;sin;seco;tallo;2
ID008;H10;M;OCT;AQ;seco;tallo;1
ID009;H10;M;OCT;T;verde;hoja;1
ID010;H10;M;OCT;AD;verde;hoja;1
ID011;H10;M;OCT;AD;verde;flor;1
ID012;H10;M;OCT;AB;verde;hoja;1
ID013;H10;M;OCT;G;verde;hoja;1
ID014;H10;M;OCT;G;verde;flor;1
ID015;H10;M;OCT;AQ;seco;hoja;5
ID016;H10;M;OCT;AF;seco;hoja;4
ID017;H10;M;OCT;AF;verde;hoja;3
ID018;H10;M;OCT;AF;verde;flor;4
ID019;H10;M;OCT;sin;seco;tallo;2
ID020;H13;M;OCT;AE;verde;hoja;2
ID021;H13;M;OCT;T;verde;hoja;4
ID022;H2;V;NOV;sin;seco;tallo;10
ID023;H2;V;NOV;sin;verde;tallo;6
ID024;H2;V;NOV;G;verde;flor;2
ID025;H2;V;NOV;AD;verde;hoja;1
ID026;H2;V;NOV;I;verde;hoja;1
ID027;H2;V;NOV;AQ;verde;hoja;1
ID028;H2;V;NOV;sin;seco;hoja;3
ID029;H5;V;NOV;AQ;verde;hoja;1
ID030;H5;V;NOV;D;verde;hoja;4
ID031;H5;V;NOV;sin;verde;hoja;2
ID032;H5;V;NOV;AF;seco;flor;1
ID033;H5;V;NOV;M;seco;fruto;3
ID034;H5;V;NOV;sin;verde;tallo;15
ID035;H5;V;NOV;sin;seco;tallo;2
ID036;H5;V;NOV;E;verde;fruto;1
ID037;H5;V;NOV;E;verde;hoja;1
ID038;H5;V;NOV;E;verde;flor;1
ID039;H6;V;NOV;AG;verde;flor;2
ID040;H6;V;NOV;H;verde;fruto;2
ID041;H6;V;NOV;AQ;verde;hoja;3
ID042;H6;V;NOV;AP;verde;flor;1
ID043;H6;V;NOV;AL;verde;hoja;2
ID044;H6;V;NOV;AF;verde;flor;1
ID045;H6;V;NOV;AO;verde;flor;1
ID046;H6;V;NOV;AP;seco;hoja;2
ID047;H6;V;NOV;sin;verde;tallo;9
ID048;H6;V;NOV;sin;verde;hoja;1
ID049;H7;V;NOV;AO;verde;flor;2
ID050;H7;V;NOV;AO;seco;hoja;2
ID051;H8;V;NOV;AP;seco;hoja;2
ID052;H8;V;NOV;AP;seco;tallo;1
ID053;H8;V;NOV;sin;seco;tallo;1
ID054;H8;V;NOV;AQ;seco;hoja;1
ID055;H9;M;NOV;AQ;verde;hoja;6
ID056;H9;M;NOV;sin;seco;tallo;3
ID057;H9;M;NOV;AM;verde;tallo;1
ID058;H9;M;NOV;sin;verde;tallo;1
ID059;H9;M;NOV;T;verde;hoja;1
ID060;H9;M;NOV;AQ;seco;hoja;1
ID061;H9;M;NOV;AQ;verde;hoja;10
ID062;H9;M;NOV;AQ;seco;hoja;8
ID063;H4;M;NOV;sin;seco;tallo;7
ID064;H4;M;NOV;sin;verde;tallo;1
ID065;H4;M;NOV;AQ;verde;hoja;8
ID066;H4;M;NOV;C;seco;fruto;1
ID067;H4;M;NOV;T;verde;hoja;1
ID068;H4;M;NOV;AQ;seco;hoja;10
ID069;H1;V;DIC;sin;seco;tallo;2
ID070;H1;V;DIC;sin;verde;tallo;1
ID071;H1;V;DIC;K;seco;flor;2
ID072;H1;V;DIC;K;verde;tallo;1
ID073;H2;V;DIC;AQ;verde;hoja;3
ID074;H2;V;DIC;sin;verde;tallo;4
ID075;H2;V;DIC;Y;seco;hoja;1
ID076;H2;V;DIC;I;seco;hoja;1
ID077;H2;V;DIC;I;verde;flor;1
ID078;H4;V;DIC;Y;seco;hoja;1
ID079;H4;V;DIC;AB;verde;hoja;1
ID080;H4;V;DIC;sin;verde;tallo;1
ID081;H4;V;DIC;sin;seco;tallo;2
ID082;H4;V;DIC;U;verde;hoja;1
ID083;H4;V;DIC;AH;verde;flor;4
ID084;H5;V;DIC;AQ;seco;zarcillo;1
ID085;H5;V;DIC;AQ;verde;hoja;6
ID086;H5;V;DIC;sin;seco;tallo;2
ID087;H5;V;DIC;sin;verde;flor;1
ID088;H5;V;DIC;sin;seco;tallo;2
ID089;H5;V;DIC;sin;verde;hoja;4
ID090;H5;V;DIC;sin;verde;tallo;1
ID091;H6;V;DIC;sin;verde;tallo;1
ID092;H6;V;DIC;sin;seco;tallo;1
ID093;H6;V;DIC;sin;seco;flor;1
ID094;H6;V;DIC;V;verde;hoja;1
ID095;H6;V;DIC;AQ;verde;hoja;2
ID096;H6;V;DIC;AI;verde;flor;1
ID097;H6;V;DIC;AI;verde;hoja;1
ID098;H6;V;DIC;Y;seco;hoja;3
ID099;H6;V;DIC;Y;verde;flor;1
ID100;H6;V;DIC;M;seco;fruto;6
ID101;H6;V;DIC;AH;seco;flor;1
ID102;H7;V;DIC;Y;verde;hoja;3
ID103;H7;V;DIC;Y;verde;fruto;3
ID104;H7;V;DIC;Y;verde;tallo;1
ID105;H7;V;DIC;Y;seco;hoja;1
ID106;H7;V;DIC;AQ;verde;hoja;1
ID107;H7;V;DIC;sin;verde;flor;1
ID108;H7;V;DIC;sin;verde;tallo;7
ID109;H7;V;DIC;AC;seco;fruto;3
ID110;H7;V;DIC;U;verde;hoja;2
ID111;H7;V;DIC;AH;verde;flor;2
ID112;H7;V;DIC;sin;verde;hoja;1
ID113;H7;V;DIC;M;seco;fruto;4
ID114;H8;V;DIC;sin;seco;tallo;3
ID115;H8;V;DIC;AO;seco;hoja;1
ID116;H8;V;DIC;G;verde;hoja;2
ID117;H9;V;DIC;sin;seco;tallo;3
ID118;H9;V;DIC;sin;verde;hoja;1
ID119;H9;V;DIC;M;seco;fruto;10
ID120;H9;V;DIC;AQ;verde;hoja;8
ID121;H1;V;DIC;sin;seco;tallo;3
ID122;H1;V;DIC;sin;verde;flor;1
ID123;H1;V;DIC;AD;verde;hoja;2
ID124;H1;V;DIC;H;seco;fruto;1
ID125;H1;V;DIC;M;seco;fruto;1
ID126;H1;V;DIC;AI;verde;hoja;2
ID127;H1;V;DIC;AI;verde;flor;1
ID128;H1;V;DIC;I;verde;hoja;2
ID129;H2;V;DIC;AQ;verde;hoja;16
ID130;H2;V;DIC;sin;seco;tallo;1
ID131;H3;V;DIC;sin;seco;tallo;1
ID132;H3;V;DIC;sin;verde;flor;1
ID133;H4;V;DIC;sin;seco;tallo;2
ID134;H4;V;DIC;AQ;verde;hoja;1
ID135;H4;V;DIC;AO;seco;hoja;2
ID136;H4;V;DIC;Y;verde;hoja;1
ID137;H4;V;DIC;AI;verde;hoja;1
