ID;LOCALIDAD;PARAMETRO;MES;Viento
I0001;La31.75Lo69.75;WS50M;enero;3.02
I0002;La31.75Lo69.75;WS10M;enero;2.65
I0003;La31.75Lo69.25;WS50M;enero;3.5
I0004;La31.75Lo69.25;WS10M;enero;3.23
I0005;La31.75Lo68.75;WS50M;enero;4.82
I0006;La31.75Lo68.75;WS10M;enero;4.11
I0007;La31.75Lo68.25;WS50M;enero;5.64
I0008;La31.75Lo68.25;WS10M;enero;4.47
I0009;La31.75Lo67.75;WS50M;enero;6.03
I0010;La31.75Lo67.75;WS10M;enero;4.73
I0011;La31.75Lo67.25;WS50M;enero;6.18
I0012;La31.75Lo67.25;WS10M;enero;4.77
I0013;La31.75Lo66.75;WS50M;enero;6.16
I0014;La31.75Lo66.75;WS10M;enero;4.6
I0015;La31.75Lo66.25;WS50M;enero;6.06
I0016;La31.75Lo66.25;WS10M;enero;4.47
I0017;La31.75Lo65.75;WS50M;enero;5.09
I0018;La31.75Lo65.75;WS10M;enero;3.49
I0019;La31.75Lo65.25;WS50M;enero;4.55
I0020;La31.75Lo65.25;WS10M;enero;3.12
I0021;La31.25Lo69.75;WS50M;enero;3.16
I0022;La31.25Lo69.75;WS10M;enero;2.76
I0023;La31.25Lo69.25;WS50M;enero;3.72
I0024;La31.25Lo69.25;WS10M;enero;3.43
I0025;La31.25Lo68.75;WS50M;enero;4.56
I0026;La31.25Lo68.75;WS10M;enero;3.89
I0027;La31.25Lo68.25;WS50M;enero;5.38
I0028;La31.25Lo68.25;WS10M;enero;4.37
I0029;La31.25Lo67.75;WS50M;enero;5.67
I0030;La31.25Lo67.75;WS10M;enero;4.55
I0031;La31.25Lo67.25;WS50M;enero;5.95
I0032;La31.25Lo67.25;WS10M;enero;4.69
I0033;La31.25Lo66.75;WS50M;enero;6.18
I0034;La31.25Lo66.75;WS10M;enero;4.7
I0035;La31.25Lo66.25;WS50M;enero;6.23
I0036;La31.25Lo66.25;WS10M;enero;4.67
I0037;La31.25Lo65.75;WS50M;enero;5.08
I0038;La31.25Lo65.75;WS10M;enero;3.27
I0039;La31.25Lo65.25;WS50M;enero;4.7
I0040;La31.25Lo65.25;WS10M;enero;3.05
I0041;La30.75Lo69.75;WS50M;enero;3.08
I0042;La30.75Lo69.75;WS10M;enero;2.66
I0043;La30.75Lo69.25;WS50M;enero;3.54
I0044;La30.75Lo69.25;WS10M;enero;3.33
I0045;La30.75Lo68.75;WS50M;enero;4.4
I0046;La30.75Lo68.75;WS10M;enero;3.81
I0047;La30.75Lo68.25;WS50M;enero;5.21
I0048;La30.75Lo68.25;WS10M;enero;4.23
I0049;La30.75Lo67.75;WS50M;enero;5.5
I0050;La30.75Lo67.75;WS10M;enero;4.44
I0051;La30.75Lo67.25;WS50M;enero;5.72
