"";"Hum1.35a43.";"Hum2.43a52.5.";"Hum3.52.5a56.5.";"Hum4.56.5a61.5.";"Hum5.65a65.";"contaminancion"
"1";"7.905e-01";"9.160e-01";"9.789e-01";"9.971e-01";"1.000e+00";"BAJA"
"2";"7.905e-01";"9.160e-01";"9.789e-01";"9.971e-01";"1.000e+00";"ALTA"
"3";"8.207e-01";"9.314e-01";"9.857e-01";"9.991e-01";"9.995e-01";"ALTA"
"4";"8.058e-01";"9.239e-01";"9.825e-01";"9.982e-01";"9.999e-01";"ALTA"
"5";"7.261e-01";"8.813e-01";"9.616e-01";"9.897e-01";"9.981e-01";"ALTA"
"6";"9.123e-01";"9.738e-01";"9.991e-01";"9.971e-01";"9.905e-01";"ALTA"
"7";"8.494e-01";"9.454e-01";"9.912e-01";"1.000e+00";"9.981e-01";"BAJA"
"8";"8.761e-01";"9.579e-01";"9.954e-01";"9.997e-01";"9.957e-01";"BAJA"
"9";"7.905e-01";"9.160e-01";"9.789e-01";"9.971e-01";"1.000e+00";"BAJA"
"10";"8.630e-01";"9.519e-01";"9.934e-01";"1.000e+00";"9.970e-01";"BAJA"
"11";"7.748e-01";"9.078e-01";"9.751e-01";"9.957e-01";"9.999e-01";"ALTA"
"12";"7.748e-01";"9.078e-01";"9.751e-01";"9.957e-01";"9.999e-01";"ALTA"
"13";"8.207e-01";"9.314e-01";"9.857e-01";"9.991e-01";"9.995e-01";"ALTA"
"14";"8.058e-01";"9.239e-01";"9.825e-01";"9.982e-01";"9.999e-01";"ALTA"
"15";"8.353e-01";"9.386e-01";"9.886e-01";"9.997e-01";"9.989e-01";"BAJA"
"16";"9.008e-01";"9.689e-01";"9.982e-01";"9.982e-01";"9.925e-01";"BAJA"
"17";"8.494e-01";"9.454e-01";"9.912e-01";"1.000e+00";"9.981e-01";"BAJA"
"18";"1.000e+00";"9.965e-01";"9.730e-01";"9.468e-01";"9.341e-01";"BAJA"
"19";"9.898e-01";"9.998e-01";"9.899e-01";"9.703e-01";"9.582e-01";"ALTA"
"20";"8.494e-01";"9.454e-01";"9.912e-01";"1.000e+00";"9.981e-01";"BAJA"
"21";"8.887e-01";"9.636e-01";"9.970e-01";"9.991e-01";"9.942e-01";"BAJA"
"22";"9.008e-01";"9.689e-01";"9.982e-01";"9.982e-01";"9.925e-01";"BAJA"
"23";"8.207e-01";"9.314e-01";"9.857e-01";"9.991e-01";"9.995e-01";"ALTA"
"24";"8.887e-01";"9.636e-01";"9.970e-01";"9.991e-01";"9.942e-01";"BAJA"
"25";"8.353e-01";"9.386e-01";"9.886e-01";"9.997e-01";"9.989e-01";"BAJA"
"26";"8.207e-01";"9.314e-01";"9.857e-01";"9.991e-01";"9.995e-01";"ALTA"
"27";"8.630e-01";"9.519e-01";"9.934e-01";"1.000e+00";"9.970e-01";"BAJA"
"28";"9.123e-01";"9.738e-01";"9.991e-01";"9.971e-01";"9.905e-01";"BAJA"
"29";"9.008e-01";"9.689e-01";"9.982e-01";"9.982e-01";"9.925e-01";"BAJA"
"30";"8.058e-01";"9.239e-01";"9.825e-01";"9.982e-01";"9.999e-01";"ALTA"
"31";"7.905e-01";"9.160e-01";"9.789e-01";"9.971e-01";"1.000e+00";"ALTA"
"32";"7.748e-01";"9.078e-01";"9.751e-01";"9.957e-01";"9.999e-01";"BAJA"
"33";"8.494e-01";"9.454e-01";"9.912e-01";"1.000e+00";"9.981e-01";"BAJA"
"34";"9.123e-01";"9.738e-01";"9.991e-01";"9.971e-01";"9.905e-01";"BAJA"
"35";"8.207e-01";"9.314e-01";"9.857e-01";"9.991e-01";"9.995e-01";"ALTA"
"36";"8.630e-01";"9.519e-01";"9.934e-01";"1.000e+00";"9.970e-01";"BAJA"
"37";"6.926e-01";"8.622e-01";"9.511e-01";"9.843e-01";"9.957e-01";"ALTA"
"38";"8.058e-01";"9.239e-01";"9.825e-01";"9.982e-01";"9.999e-01";"ALTA"
"39";"7.748e-01";"9.078e-01";"9.751e-01";"9.957e-01";"9.999e-01";"ALTA"
"40";"8.058e-01";"9.239e-01";"9.825e-01";"9.982e-01";"9.999e-01";"ALTA"
"41";"8.761e-01";"9.579e-01";"9.954e-01";"9.997e-01";"9.957e-01";"BAJA"
"42";"8.494e-01";"9.454e-01";"9.912e-01";"1.000e+00";"9.981e-01";"BAJA"
"43";"8.353e-01";"9.386e-01";"9.886e-01";"9.997e-01";"9.989e-01";"BAJA"
"44";"7.748e-01";"9.078e-01";"9.751e-01";"9.957e-01";"9.999e-01";"ALTA"
"45";"9.008e-01";"9.689e-01";"9.982e-01";"9.982e-01";"9.925e-01";"BAJA"
"46";"8.353e-01";"9.386e-01";"9.886e-01";"9.997e-01";"9.989e-01";"ALTA"
