id;DIA;Tiempo;HE;BE;HI;BI;HC;BC
I004;lunes;h1[0a0.25);93.6;4.8;89.1;4;93.8;7
I005;lunes;h1[0a0.25);95.5;5.5;93.8;4.2;87.3;7.5
I006;lunes;h1[0a0.25);96;3.3;94.4;6.7;89.2;7.7
I007;lunes;h10[2.50a3.00];89.9;11.3;84;11.5;83.4;13.4
I008;lunes;h10[2.50a3.00];87.3;9.8;87.9;12.5;84.5;11.8
I009;lunes;h10[2.50a3.00];89.1;9.8;89.1;13.2;81.5;14.5
I010;lunes;h11[3.00a3.50];89.5;12.3;82.8;12.7;81;16.5
I011;lunes;h11[3.00a3.50];85.5;10.7;88;13.7;81.7;15.5
I012;lunes;h11[3.00a3.50];88.3;10.1;89.9;13.1;86.7;13.8
I013;lunes;h12[3.50a4.00];83.7;15.6;81.9;16.8;80.7;16.9
I014;lunes;h12[3.50a4.00];88.7;10.5;85.5;13.4;82.1;15.7
I015;lunes;h12[3.50a4.00];89;12.2;84.1;12.6;84.2;16.5
I016;lunes;h13[4.00a5.00];83.3;16;83.7;13.6;83.4;15.9
I017;lunes;h13[4.00a5.00];83.2;14.4;83.3;16.1;81.9;17.2
I018;lunes;h13[4.00a5.00];89.1;11.7;88.2;13.6;85.3;14.2
I019;lunes;h14[5.00a6.00];84.5;16.8;83.1;18.4;79.7;17.4
I020;lunes;h14[5.00a6.00];83.4;15.4;82.3;16;81.4;17.5
I021;lunes;h14[5.00a6.00];80.9;15.7;80.8;16.5;82.3;16
I022;lunes;h2[0.25a0.5);95;3.3;90.2;6.2;87;14.2
I023;lunes;h2[0.25a0.5);91.4;9.2;90.3;8.5;89.5;10.9
I024;lunes;h2[0.25a0.5);92.9;5.9;92.8;8.9;89.5;8.8
I025;lunes;h3[0.5a0.75);94.7;5.3;92.2;6.6;90.5;8.9
I026;lunes;h3[0.5a0.75);94.4;5.9;91.8;7;88.8;8.6
I027;lunes;h3[0.5a0.75);90;6.6;88.2;8.3;89.7;10.7
I028;lunes;h4[0.75a1.00);90.8;5.1;87.8;8.4;87.3;11.5
I029;lunes;h4[0.75a1.00);93.8;9.1;89.6;10.3;83.5;13.3
I030;lunes;h4[0.75a1.00);90.5;7.2;87;10.8;87.6;10.3
I031;lunes;h5[1.00a1.25);92;8.5;90.1;7;87;10.7
I032;lunes;h5[1.00a1.25);94.2;9.7;91;8.9;85.2;11.5
I033;lunes;h5[1.00a1.25);93;10.2;94.1;9;89.1;8
I034;lunes;h6[1.25a1.50];93.2;6.4;88.7;9.9;83.1;14.9
I035;lunes;h6[1.25a1.50];91.5;14.9;87.1;10.3;86;11
I036;lunes;h6[1.25a1.50];87.7;8.6;88.1;10.9;87;14
I037;lunes;h7[1.50a1.75];89.4;8.3;88.3;11.4;85.1;12.7
I038;lunes;h7[1.50a1.75];91.6;10.3;97.4;10.9;85.1;10.4
I039;lunes;h7[1.50a1.75];89.8;10.9;87.2;12;83.9;13.5
I040;lunes;h8[1.75a2.00];91.4;7.5;89.2;10.2;85.7;13.4
I041;lunes;h8[1.75a2.00];89.1;10.8;87.7;11.9;83.8;14.2
I042;lunes;h8[1.75a2.00];91.4;10.3;86;9.7;83.6;12.5
I043;lunes;h9[2.00a2.50];88.7;8.4;89.5;12.2;83.8;14.5
I044;lunes;h9[2.00a2.50];89.8;9.7;90.5;12.5;85.3;12.7
I045;lunes;h9[2.00a2.50];90.4;7.6;86.6;9;82.4;14.2
I046;martes;h1[0a0.25);84.5;16.8;83.1;18.4;79.7;17.4
I047;martes;h1[0a0.25);83.4;15.4;82.3;16;81.4;17.5
I048;martes;h1[0a0.25);80.9;15.7;80.8;16.5;82.3;16
I049;martes;h1[0a0.25);78.8;20;79.9;23.1;76.9;22.3
I050;martes;h1[0a0.25);77.4;22.6;77.1;23.4;75;25.1
I051;martes;h1[0a0.25);81.3;21.2;77.2;19.6;75;23.2
I052;martes;h10[2.50a3.00];72.2;26.9;72.1;27.8;70.6;28.8
I053;martes;h10[2.50a3.00];76;24.8;73.3;26.7;70.6;29.3
I054;martes;h10[2.50a3.00];74.5;24.9;73.7;26.4;69.5;28.3
I055;martes;h11[3.00a3.50];73.8;26.1;69.4;28.9;69.7;29.1
I056;martes;h11[3.00a3.50];71;27.4;73.7;28.8;72.7;26.2
I057;martes;h11[3.00a3.50];68.4;26.8;70.4;29.1;69.2;28
I058;martes;h12[3.50a4.00];75.4;29;71.5;28;69.3;29.5
I059;martes;h12[3.50a4.00];74.5;27;72.8;27.5;71.3;25.8
I060;martes;h12[3.50a4.00];70.1;26.5;70.4;28.6;69.2;27.9
I061;martes;h13[4.00a5.00];72.4;28;70.2;30;67.6;30.6
I062;martes;h13[4.00a5.00];73.9;27.2;70.5;28.9;68.9;30.4
I063;martes;h13[4.00a5.00];69.9;29.7;68.9;28.4;71.6;27.6
I064;martes;h14[5.00a6.00];72.4;28;70.2;30;72.6;28.4
I065;martes;h14[5.00a6.00];73.9;27.2;70.5;28.9;72.6;28.4
I066;martes;h14[5.00a6.00];69.9;29.7;68.9;28.4;74.8;25.5
I067;martes;h2[0.25a0.5);74.8;23.8;74.1;24.6;72.8;23.8
I068;martes;h2[0.25a0.5);79.3;20.9;77.9;23;75;26.2
I069;martes;h2[0.25a0.5);78.6;20.9;75.5;22.4;74.6;25.5
I070;martes;h3[0.5a0.75);73.8;23.1;77.2;22.3;73.3;23.8
I071;martes;h3[0.5a0.75);76.8;22.1;75.3;24.6;75.1;26.2
I072;martes;h3[0.5a0.75);74.3;24;74.1;23.5;74.8;25.5
I073;martes;h4[0.75a1.00);72.4;24.9;70.9;26.1;72.6;28.4
I074;martes;h4[0.75a1.00);72.8;25.5;73.7;26;70.7;27.8
I075;martes;h4[0.75a1.00);77.7;25;76.2;25.3;70.7;25.8
I076;martes;h5[1.00a1.25);73.6;22.4;74.6;24.2;70.6;28.7
I077;martes;h5[1.00a1.25);78.4;22.2;73.6;24.6;71.6;27
I078;martes;h5[1.00a1.25);75.9;22.4;75.2;25.8;72.1;28.1
I079;martes;h6[1.25a1.50];73.8;22.4;72;27;71.5;28.1
I080;martes;h6[1.25a1.50];73;27.1;73.1;26.8;71.4;27
I081;martes;h6[1.25a1.50];75.3;24.8;73.3;25.1;70.5;28.1
I082;martes;h7[1.50a1.75];79.7;22.1;76.7;24.3;75.2;27.3
I083;martes;h7[1.50a1.75];73.9;26.7;74.4;24.8;71;27.1
I084;martes;h7[1.50a1.75];73.9;25.2;73.1;24.9;71;26.9
I085;martes;h8[1.75a2.00];74.1;31.4;73.9;24;76.1;27.7
I086;martes;h8[1.75a2.00];79.1;23.6;74.6;23.8;70.9;27.3
I087;martes;h8[1.75a2.00];75.1;24.7;73.2;27.4;72.1;27
I088;martes;h9[2.00a2.50];71.2;28.2;73.5;26.1;71.9;27.8
I089;martes;h9[2.00a2.50];74;24.7;71.6;26.7;71.5;28.5
I090;martes;h9[2.00a2.50];77.2;21.3;76.4;23.2;75.6;24.2
I091;miercoles;h1[0a0.25);70.2;30;67.6;30.6;61.5;30.8
I092;miercoles;h1[0a0.25);70.5;28.9;68.9;30.4;65.1;32.5
I093;miercoles;h1[0a0.25);68.9;28.4;71.6;27.6;65.1;32.5
I094;miercoles;h1[0a0.25);67;31;67;33.7;66.7;34.8
