"";"c1";"c2";"c3";"c4";"c5";"c6";"Cepa";"Fecha";"Lado"
"1";"2.43850486926525e-01";"5.00157288483840e-01";"8.86158342660492e-05";"6.52297995613175e-12";"7.46960583876093e-24";"1.97325920600594e-38";"E47";"F1";"F"
"2";"4.78264248767475e-01";"2.59494324121492e-01";"1.06477356214177e-05";"2.07333244269474e-13";"5.49851295108566e-26";"3.84245398437262e-41";"E47";"F1";"F"
"3";"6.38559898956410e-01";"1.61370873664205e-01";"2.85715937263166e-06";"2.59125237656289e-14";"2.96528159404090e-27";"9.65145806488503e-43";"E47";"F1";"F"
"4";"5.89725369112434e-01";"1.87607277788711e-01";"4.27890846582926e-06";"4.88522539358389e-14";"7.20136515478150e-27";"2.95065328868944e-42";"E47";"F1";"F"
"5";"8.63395852116144e-01";"6.85670469728436e-02";"3.39809048215841e-07";"9.68483364895183e-16";"3.10211983900518e-29";"3.17298147584815e-45";"E47";"F1";"F"
"6";"8.07915507448482e-01";"8.81418350558521e-02";"6.19445785476892e-07";"2.42533193372946e-15";"1.10163902508813e-28";"1.54795714664427e-44";"E47";"F1";"F"
"7";"5.43501142999701e-01";"2.15185661499810e-01";"6.24325308518229e-06";"8.87106062109653e-14";"1.66348952565487e-26";"8.48274508124783e-42";"E47";"F1";"F"
"8";"8.98775497851444e-01";"5.67922927739546e-02";"2.18884421970544e-07";"4.96369137112750e-16";"1.23645164000624e-29";"1.00627988225087e-45";"E47";"F1";"F"
"9";"5.33401607762301e-01";"2.21607384745601e-01";"6.77938946006873e-06";"1.01081628653572e-13";"1.99859823134510e-26";"1.06944605921933e-41";"E47";"F1";"F"
"10";"7.40176708122578e-01";"1.14615474992468e-01";"1.18403718914499e-06";"6.57998533992398e-15";"4.39333098495608e-28";"8.76204027220611e-44";"E47";"F1";"F"
"11";"5.91283938960832e-01";"1.86726182484435e-01";"4.22453316851798e-06";"4.78783967277409e-14";"7.00099903234249e-27";"2.84755834419476e-42";"E47";"F1";"F"
"12";"2.07310419064552e-01";"5.56215636499346e-01";"1.32419188064965e-04";"1.27504268386035e-11";"1.96191127589258e-23";"6.77961301960993e-38";"E47";"F1";"D"
"13";"4.43527863395200e-01";"2.86114842945764e-01";"1.42018615027755e-05";"3.28788403996871e-13";"1.05479555087059e-25";"8.76377556579635e-41";"E47";"F1";"D"
