"";"CO1.4.2a6.5.";"CO2.6.5a8.5.";"CO3.8.5a9.5.";"CO4.9.5a10.5.";"CO5.11.8a11.8.";"contaminancion"
"1";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"2";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"3";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"4";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"5";"1.260e-02";"2.200e-03";"3.000e-04";"1.353e-01";"8.275e-01";"ALTA"
"6";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"7";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"8";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"9";"9.413e-01";"4.390e-02";"0.000e+00";"0.000e+00";"0.000e+00";"BAJA"
"10";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"11";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"12";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"13";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"14";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"15";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"BAJA"
"16";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"17";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"18";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"19";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"20";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"21";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"22";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"23";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"24";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"25";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"BAJA"
"26";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"27";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"28";"2.554e-01";"8.825e-01";"1.353e-01";"3.000e-04";"1.400e-02";"BAJA"
"29";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"30";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"31";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"32";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"33";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"34";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"35";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"36";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"37";"1.260e-02";"2.200e-03";"3.000e-04";"1.353e-01";"8.275e-01";"ALTA"
"38";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"39";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"40";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"41";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"42";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"43";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"44";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"45";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"46";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"47";"2.554e-01";"8.825e-01";"1.353e-01";"3.000e-04";"1.400e-02";"BAJA"
"48";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"49";"2.554e-01";"8.825e-01";"1.353e-01";"3.000e-04";"1.400e-02";"BAJA"
"50";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"51";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"52";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"BAJA"
"53";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"54";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"55";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"56";"2.554e-01";"8.825e-01";"1.353e-01";"3.000e-04";"1.400e-02";"BAJA"
"57";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
"58";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"59";"1.133e-01";"3.247e-01";"1.000e+00";"1.353e-01";"9.830e-02";"BAJA"
"60";"4.160e-02";"4.390e-02";"1.353e-01";"1.000e+00";"3.834e-01";"ALTA"
