ADJETIVO;AZUL;ROJO;AMARILLO;BLANCO;GRIS;ROSA;CASTANO;VIOLETA;NEGRO;NARANJA;VERDE
acido;0;0;50;0;0;0;0;4;0;4;4
agresivo;0;13;0;0;0;0;0;0;0;17;0
alegre;4;4;4;0;0;4;0;0;0;0;4
angustiante;0;17;4;0;0;0;0;8;8;8;0
ardiente;0;25;4;0;0;0;0;0;0;0;0
armonioso;0;4;0;0;0;0;13;0;0;0;0
asiatico;0;0;13;0;0;0;0;8;0;17;0
atractivo;4;0;17;0;0;0;0;0;17;0;0
avajentado;0;0;0;0;17;0;0;13;0;0;0
azucarado;0;0;4;0;0;58;0;13;0;33;0
brumoso;0;0;0;0;29;0;8;46;4;0;0
celeste;71;0;4;25;0;0;0;0;0;0;0
claro;0;0;0;8;21;0;17;0;0;25;13
calido;0;13;4;0;0;0;25;0;0;4;0
calma;50;0;0;0;0;13;17;4;0;4;33
campestre;0;0;0;0;0;0;0;0;0;13;38
colorado;0;4;0;0;0;0;0;4;4;8;0
comico;0;0;0;0;0;0;0;4;0;0;4
crudo;0;8;8;0;0;0;0;0;0;13;0
decorativo;0;0;0;4;4;0;0;0;0;29;0
dinamico;0;4;0;0;0;0;0;0;0;0;0
discreto;0;0;0;0;0;0;4;0;0;8;0
dulce;4;0;0;25;8;8;4;0;0;0;0
duro;0;0;0;0;0;0;13;0;0;0;8
eclesiatico;0;0;13;0;0;0;0;0;0;0;0
enervante;0;8;0;0;0;4;0;0;0;0;0
enfermizo;0;8;4;0;0;0;0;0;0;0;0
equilibrado;25;0;0;0;0;0;13;0;0;0;0
extendido;13;0;4;0;0;0;0;0;0;13;0
feo;0;0;4;0;0;4;13;0;0;0;4
floreciente;0;8;29;4;0;0;0;0;0;0;0
florido;0;0;4;0;0;13;0;0;0;0;0
franco;8;8;0;4;0;0;0;0;0;0;33
fragil;0;0;0;0;0;25;0;0;0;0;8
frio;8;0;0;13;8;0;4;0;0;63;21
frutado;0;4;0;0;0;0;0;0;0;0;0
helado;0;0;0;0;0;0;25;0;0;0;0
insignifican;0;0;0;0;0;50;25;0;0;0;0
infantil;0;0;4;0;13;54;0;0;0;0;21
inmaculado;0;0;0;38;0;0;0;0;0;0;0
inestable;0;0;8;4;25;0;13;0;0;0;0
invernal;0;0;0;0;8;0;8;0;0;29;0
lejano;21;0;0;0;0;0;0;0;0;0;0
limpio;8;0;0;21;0;4;0;0;0;0;0
liso;0;0;0;8;21;0;8;0;0;4;0
liviano;8;0;4;0;0;21;0;0;0;0;0
limpido;17;0;0;17;0;0;0;0;0;33;0
luminoso;13;0;92;0;0;0;0;0;0;0;4
masculino;0;0;0;0;0;0;25;0;0;33;0
misterioso;0;0;0;8;4;0;0;17;21;0;0
mortal;0;8;0;42;4;0;0;29;63;0;0
natural;0;0;0;0;0;0;58;0;0;0;83
nevado;0;0;0;25;0;0;0;0;0;0;0
otonal;0;0;0;0;0;0;17;0;0;0;0
palido;0;0;0;13;0;33;0;0;0;4;0
pasional;0;17;0;0;0;0;0;0;0;0;0
patriotico;13;0;0;0;0;0;0;0;0;0;0
perdido;4;0;4;0;0;0;0;0;13;0;21
perfumado;0;0;4;4;0;21;0;8;0;0;0
profundo;0;0;0;0;0;0;4;17;29;4;0
primaveral;4;0;0;0;0;4;0;21;0;0;42
puro;8;0;0;92;0;0;0;0;0;0;0
quemante;0;17;0;0;0;0;0;0;0;17;0
redondeado;0;0;0;0;0;0;4;0;0;0;0
refinado;0;0;0;0;0;4;4;0;13;0;0
religioso;0;0;0;0;0;0;0;8;0;0;0
reposado;50;0;0;0;0;0;0;58;0;0;29
revolucionario;0;13;0;0;0;0;0;0;0;0;0
romantico;8;0;0;0;0;25;0;0;0;0;0
sanguineo;0;83;0;0;0;0;0;0;0;4;0
severo;0;0;0;0;0;0;4;0;25;42;0
silencioso;0;0;0;0;0;0;0;21;17;0;0
siniestro;0;0;0;0;8;0;4;0;38;0;0
sobrio;0;0;0;0;13;0;0;0;17;0;0
soleado;0;0;29;0;0;0;0;4;0;0;0
sombrio;8;0;0;0;29;0;25;0;38;0;4
sonoro;0;0;13;0;0;0;8;0;0;0;0
sonriente;0;0;38;0;8;0;0;0;0;0;0
sucio;0;0;8;0;50;13;25;0;0;0;0
tonto;0;0;0;4;13;21;0;0;0;0;0
triste;0;0;0;0;100;0;25;33;92;0;0
vacio;0;0;25;33;33;21;4;25;17;0;0
violento;0;71;0;0;0;0;0;33;0;8;0
vital;0;75;21;0;0;0;0;0;0;21;0
vividor;4;0;0;0;0;4;0;0;0;0;25
