"";"seco";"fresco";"HORMIGUERO";"SITIO";"MES";"ESPECIE_VEGETAL";"ESTADO";"ORGANO"
"ID001";1;0;"H1";"V";"OCT";"sin";"seco";"fruto"
"ID002";1;0;"H6";"V";"OCT";"sin";"seco";"tallo"
"ID003";0;1;"H9";"V";"OCT";"Y";"verde";"hoja"
"ID004";0;1;"H9";"V";"OCT";"Y";"verde";"flor"
"ID005";1;0;"H5";"V";"OCT";"sin";"seco";"tallo"
"ID006";0;1;"H10";"M";"OCT";"AF";"verde";"hoja"
"ID007";1;0;"H10";"M";"OCT";"sin";"seco";"tallo"
"ID008";1;0;"H10";"M";"OCT";"AQ";"seco";"tallo"
"ID009";0;1;"H10";"M";"OCT";"T";"verde";"hoja"
"ID010";0;1;"H10";"M";"OCT";"AD";"verde";"hoja"
"ID011";0;1;"H10";"M";"OCT";"AD";"verde";"flor"
"ID012";0;1;"H10";"M";"OCT";"AB";"verde";"hoja"
"ID013";0;1;"H10";"M";"OCT";"G";"verde";"hoja"
"ID014";0;1;"H10";"M";"OCT";"G";"verde";"flor"
"ID015";1;0;"H10";"M";"OCT";"AQ";"seco";"hoja"
"ID016";1;0;"H10";"M";"OCT";"AF";"seco";"hoja"
"ID017";0;1;"H10";"M";"OCT";"AF";"verde";"hoja"
"ID018";0;1;"H10";"M";"OCT";"AF";"verde";"flor"
"ID019";1;0;"H10";"M";"OCT";"sin";"seco";"tallo"
"ID020";0;1;"H13";"M";"OCT";"AE";"verde";"hoja"
"ID021";0;1;"H13";"M";"OCT";"T";"verde";"hoja"
"ID022";1;0;"H2";"V";"NOV";"sin";"seco";"tallo"
"ID023";0;1;"H2";"V";"NOV";"sin";"verde";"tallo"
"ID024";0;1;"H2";"V";"NOV";"G";"verde";"flor"
"ID025";0;1;"H2";"V";"NOV";"AD";"verde";"hoja"
"ID026";0;1;"H2";"V";"NOV";"I";"verde";"hoja"
"ID027";0;1;"H2";"V";"NOV";"AQ";"verde";"hoja"
"ID028";1;0;"H2";"V";"NOV";"sin";"seco";"hoja"
"ID029";0;1;"H5";"V";"NOV";"AQ";"verde";"hoja"
"ID030";0;1;"H5";"V";"NOV";"D";"verde";"hoja"
"ID031";0;1;"H5";"V";"NOV";"sin";"verde";"hoja"
"ID032";1;0;"H5";"V";"NOV";"AF";"seco";"flor"
"ID033";1;0;"H5";"V";"NOV";"M";"seco";"fruto"
"ID034";0;1;"H5";"V";"NOV";"sin";"verde";"tallo"
"ID035";1;0;"H5";"V";"NOV";"sin";"seco";"tallo"
"ID036";0;1;"H5";"V";"NOV";"E";"verde";"fruto"
"ID037";0;1;"H5";"V";"NOV";"E";"verde";"hoja"
"ID038";0;1;"H5";"V";"NOV";"E";"verde";"flor"
"ID039";0;1;"H6";"V";"NOV";"AG";"verde";"flor"
"ID040";0;1;"H6";"V";"NOV";"H";"verde";"fruto"
"ID041";0;1;"H6";"V";"NOV";"AQ";"verde";"hoja"
"ID042";0;1;"H6";"V";"NOV";"AP";"verde";"flor"
"ID043";0;1;"H6";"V";"NOV";"AL";"verde";"hoja"
"ID044";0;1;"H6";"V";"NOV";"AF";"verde";"flor"
"ID045";0;1;"H6";"V";"NOV";"AO";"verde";"flor"
"ID046";1;0;"H6";"V";"NOV";"AP";"seco";"hoja"
"ID047";0;1;"H6";"V";"NOV";"sin";"verde";"tallo"
"ID048";0;1;"H6";"V";"NOV";"sin";"verde";"hoja"
"ID049";0;1;"H7";"V";"NOV";"AO";"verde";"flor"
"ID050";1;0;"H7";"V";"NOV";"AO";"seco";"hoja"
"ID051";1;0;"H8";"V";"NOV";"AP";"seco";"hoja"
"ID052";1;0;"H8";"V";"NOV";"AP";"seco";"tallo"
"ID053";1;0;"H8";"V";"NOV";"sin";"seco";"tallo"
"ID054";1;0;"H8";"V";"NOV";"AQ";"seco";"hoja"
"ID055";0;1;"H9";"M";"NOV";"AQ";"verde";"hoja"
"ID056";1;0;"H9";"M";"NOV";"sin";"seco";"tallo"
"ID057";0;1;"H9";"M";"NOV";"AM";"verde";"tallo"
"ID058";0;1;"H9";"M";"NOV";"sin";"verde";"tallo"
"ID059";0;1;"H9";"M";"NOV";"T";"verde";"hoja"
"ID060";1;0;"H9";"M";"NOV";"AQ";"seco";"hoja"
"ID061";0;1;"H9";"M";"NOV";"AQ";"verde";"hoja"
"ID062";1;0;"H9";"M";"NOV";"AQ";"seco";"hoja"
"ID063";1;0;"H4";"M";"NOV";"sin";"seco";"tallo"
"ID064";0;1;"H4";"M";"NOV";"sin";"verde";"tallo"
"ID065";0;1;"H4";"M";"NOV";"AQ";"verde";"hoja"
"ID066";1;0;"H4";"M";"NOV";"C";"seco";"fruto"
"ID067";0;1;"H4";"M";"NOV";"T";"verde";"hoja"
"ID068";1;0;"H4";"M";"NOV";"AQ";"seco";"hoja"
"ID069";1;0;"H1";"V";"DIC";"sin";"seco";"tallo"
"ID070";0;1;"H1";"V";"DIC";"sin";"verde";"tallo"
"ID071";1;0;"H1";"V";"DIC";"K";"seco";"flor"
"ID072";0;1;"H1";"V";"DIC";"K";"verde";"tallo"
"ID073";0;1;"H2";"V";"DIC";"AQ";"verde";"hoja"
"ID074";0;1;"H2";"V";"DIC";"sin";"verde";"tallo"
"ID075";1;0;"H2";"V";"DIC";"Y";"seco";"hoja"
"ID076";1;0;"H2";"V";"DIC";"I";"seco";"hoja"
"ID077";0;1;"H2";"V";"DIC";"I";"verde";"flor"
"ID078";1;0;"H4";"V";"DIC";"Y";"seco";"hoja"
"ID079";0;1;"H4";"V";"DIC";"AB";"verde";"hoja"
"ID080";0;1;"H4";"V";"DIC";"sin";"verde";"tallo"
"ID081";1;0;"H4";"V";"DIC";"sin";"seco";"tallo"
"ID082";0;1;"H4";"V";"DIC";"U";"verde";"hoja"
"ID083";0;1;"H4";"V";"DIC";"AH";"verde";"flor"
"ID084";1;0;"H5";"V";"DIC";"AQ";"seco";"zarcillo"
"ID085";0;1;"H5";"V";"DIC";"AQ";"verde";"hoja"
"ID086";1;0;"H5";"V";"DIC";"sin";"seco";"tallo"
"ID087";0;1;"H5";"V";"DIC";"sin";"verde";"flor"
"ID088";1;0;"H5";"V";"DIC";"sin";"seco";"tallo"
"ID089";0;1;"H5";"V";"DIC";"sin";"verde";"hoja"
"ID090";0;1;"H5";"V";"DIC";"sin";"verde";"tallo"
"ID091";0;1;"H6";"V";"DIC";"sin";"verde";"tallo"
"ID092";1;0;"H6";"V";"DIC";"sin";"seco";"tallo"
"ID093";1;0;"H6";"V";"DIC";"sin";"seco";"flor"
"ID094";0;1;"H6";"V";"DIC";"V";"verde";"hoja"
"ID095";0;1;"H6";"V";"DIC";"AQ";"verde";"hoja"
"ID096";0;1;"H6";"V";"DIC";"AI";"verde";"flor"
"ID097";0;1;"H6";"V";"DIC";"AI";"verde";"hoja"
"ID098";1;0;"H6";"V";"DIC";"Y";"seco";"hoja"
"ID099";0;1;"H6";"V";"DIC";"Y";"verde";"flor"
"ID100";1;0;"H6";"V";"DIC";"M";"seco";"fruto"
"ID101";1;0;"H6";"V";"DIC";"AH";"seco";"flor"
"ID102";0;1;"H7";"V";"DIC";"Y";"verde";"hoja"
"ID103";0;1;"H7";"V";"DIC";"Y";"verde";"fruto"
"ID104";0;1;"H7";"V";"DIC";"Y";"verde";"tallo"
"ID105";1;0;"H7";"V";"DIC";"Y";"seco";"hoja"
"ID106";0;1;"H7";"V";"DIC";"AQ";"verde";"hoja"
"ID107";0;1;"H7";"V";"DIC";"sin";"verde";"flor"
"ID108";0;1;"H7";"V";"DIC";"sin";"verde";"tallo"
"ID109";1;0;"H7";"V";"DIC";"AC";"seco";"fruto"
"ID110";0;1;"H7";"V";"DIC";"U";"verde";"hoja"
"ID111";0;1;"H7";"V";"DIC";"AH";"verde";"flor"
"ID112";0;1;"H7";"V";"DIC";"sin";"verde";"hoja"
"ID113";1;0;"H7";"V";"DIC";"M";"seco";"fruto"
"ID114";1;0;"H8";"V";"DIC";"sin";"seco";"tallo"
"ID115";1;0;"H8";"V";"DIC";"AO";"seco";"hoja"
"ID116";0;1;"H8";"V";"DIC";"G";"verde";"hoja"
"ID117";1;0;"H9";"V";"DIC";"sin";"seco";"tallo"
"ID118";0;1;"H9";"V";"DIC";"sin";"verde";"hoja"
"ID119";1;0;"H9";"V";"DIC";"M";"seco";"fruto"
"ID120";0;1;"H9";"V";"DIC";"AQ";"verde";"hoja"
"ID121";1;0;"H1";"V";"DIC";"sin";"seco";"tallo"
"ID122";0;1;"H1";"V";"DIC";"sin";"verde";"flor"
"ID123";0;1;"H1";"V";"DIC";"AD";"verde";"hoja"
"ID124";1;0;"H1";"V";"DIC";"H";"seco";"fruto"
"ID125";1;0;"H1";"V";"DIC";"M";"seco";"fruto"
"ID126";0;1;"H1";"V";"DIC";"AI";"verde";"hoja"
"ID127";0;1;"H1";"V";"DIC";"AI";"verde";"flor"
"ID128";0;1;"H1";"V";"DIC";"I";"verde";"hoja"
"ID129";0;1;"H2";"V";"DIC";"AQ";"verde";"hoja"
"ID130";1;0;"H2";"V";"DIC";"sin";"seco";"tallo"
"ID131";1;0;"H3";"V";"DIC";"sin";"seco";"tallo"
"ID132";0;1;"H3";"V";"DIC";"sin";"verde";"flor"
"ID133";1;0;"H4";"V";"DIC";"sin";"seco";"tallo"
"ID134";0;1;"H4";"V";"DIC";"AQ";"verde";"hoja"
"ID135";1;0;"H4";"V";"DIC";"AO";"seco";"hoja"
"ID136";0;1;"H4";"V";"DIC";"Y";"verde";"hoja"
"ID137";0;1;"H4";"V";"DIC";"AI";"verde";"hoja"
"ID138";0;1;"H4";"V";"DIC";"AA";"verde";"flor"
"ID139";1;0;"H4";"V";"DIC";"AD";"seco";"hoja"
"ID140";1;0;"H4";"V";"DIC";"Y";"seco";"flor"
"ID141";1;0;"H4";"V";"DIC";"C";"seco";"fruto"
"ID142";0;1;"H5";"V";"DIC";"AQ";"verde";"hoja"
"ID143";0;1;"H5";"V";"DIC";"sin";"verde";"hoja"
"ID144";1;0;"H6";"V";"DIC";"sin";"seco";"tallo"
"ID145";0;1;"H6";"V";"DIC";"sin";"verde";"tallo"
"ID146";0;1;"H6";"V";"DIC";"sin";"verde";"flor"
"ID147";0;1;"H6";"V";"DIC";"Y";"verde";"flor"
"ID148";1;0;"H7";"V";"DIC";"sin";"seco";"tallo"
"ID149";0;1;"H7";"V";"DIC";"sin";"verde";"tallo"
"ID150";0;1;"H7";"V";"DIC";"Y";"verde";"hoja"
"ID151";0;1;"H7";"V";"DIC";"P";"verde";"flor"
"ID152";1;0;"H8";"V";"DIC";"sin";"seco";"tallo"
"ID153";0;1;"H8";"V";"DIC";"sin";"verde";"hoja"
"ID154";0;1;"H8";"V";"DIC";"AQ";"verde";"tallo"
"ID155";0;1;"H8";"V";"DIC";"AQ";"verde";"hoja"
"ID156";0;1;"H9";"V";"DIC";"AD";"verde";"hoja"
"ID157";1;0;"H9";"V";"DIC";"sin";"seco";"tallo"
"ID158";1;0;"H12";"M";"DIC";"sin";"seco";"tallo"
