ID;LOCALIDAD;PARAMETRO;ANO;V1_calma;V2_ventolina;V3_brisamuydebil;V4_brisadebilflojo;V5_brisamoderada;V6_brisafresca;V7_brisafuerte;v8_vientofuerte;v9_temporal
ID0001;La27-25_ Lo65-25;WS10M;A1981;0,00;0,00;0,543589744;0,442105263;0,00;0,00;0,00;0,00;0,00
ID0002;La27-25_ Lo65-25;WS10M;A1982;0,00;0,00;0,266666667;0,726315789;0,00;0,00;0,00;0,00;0,00
ID0003;La27-25_ Lo65-25;WS10M;A1983;0,00;0,00;0,446153846;0,542105263;0,00;0,00;0,00;0,00;0,00
ID0004;La27-25_ Lo65-25;WS10M;A1984;0,00;0,00;0,312820513;0,678947368;0,00;0,00;0,00;0,00;0,00
ID0005;La27-25_ Lo65-25;WS10M;A1985;0,00;0,00;0,41025641;0,578947368;0,00;0,00;0,00;0,00;0,00
ID0006;La27-25_ Lo65-25;WS10M;A1986;0,00;0,00;0,266666667;0,726315789;0,00;0,00;0,00;0,00;0,00
ID0007;La27-25_ Lo65-25;WS10M;A1987;0,00;0,00;0,441025641;0,547368421;0,00;0,00;0,00;0,00;0,00
ID0008;La27-25_ Lo65-25;WS10M;A1988;0,00;0,00;0,451282051;0,536842105;0,00;0,00;0,00;0,00;0,00
ID0009;La27-25_ Lo65-25;WS10M;A1989;0,00;0,00;0,38974359;0,6;0,00;0,00;0,00;0,00;0,00
ID0010;La27-25_ Lo65-25;WS10M;A1990;0,00;0,00;0,543589744;0,442105263;0,00;0,00;0,00;0,00;0,00
ID0011;La27-25_ Lo65-25;WS10M;A1991;0,00;0,00;0,358974359;0,631578947;0,00;0,00;0,00;0,00;0,00
ID0012;La27-25_ Lo65-25;WS10M;A1992;0,00;0,00;0,538461538;0,447368421;0,00;0,00;0,00;0,00;0,00
ID0013;La27-25_ Lo65-25;WS10M;A1993;0,00;0,00;0,502564103;0,484210526;0,00;0,00;0,00;0,00;0,00
ID0014;La27-25_ Lo65-25;WS10M;A1994;0,00;0,00;0,328205128;0,663157895;0,00;0,00;0,00;0,00;0,00
ID0015;La27-25_ Lo65-25;WS10M;A1995;0,00;0,00;0,256410256;0,736842105;0,00;0,00;0,00;0,00;0,00
ID0016;La27-25_ Lo65-25;WS10M;A1996;0,00;0,00;0,405128205;0,584210526;0,00;0,00;0,00;0,00;0,00
ID0017;La27-25_ Lo65-25;WS10M;A1997;0,00;0,00;0,394871795;0,594736842;0,00;0,00;0,00;0,00;0,00
ID0018;La27-25_ Lo65-25;WS10M;A1998;0,00;0,00;0,353846154;0,636842105;0,00;0,00;0,00;0,00;0,00
ID0019;La27-25_ Lo65-25;WS10M;A1999;0,00;0,00;0,492307692;0,494736842;0,00;0,00;0,00;0,00;0,00
ID0020;La27-25_ Lo65-25;WS10M;A2000;0,00;0,00;0,446153846;0,542105263;0,00;0,00;0,00;0,00;0,00
ID0021;La27-25_ Lo65-25;WS10M;A2001;0,00;0,00;0,379487179;0,610526316;0,00;0,00;0,00;0,00;0,00
ID0022;La27-25_ Lo65-25;WS10M;A2002;0,00;0,00;0,38974359;0,6;0,00;0,00;0,00;0,00;0,00
ID0023;La27-25_ Lo65-25;WS10M;A2003;0,00;0,00;0,492307692;0,494736842;0,00;0,00;0,00;0,00;0,00
ID0024;La27-25_ Lo65-25;WS10M;A2004;0,00;0,00;0,507692308;0,478947368;0,00;0,00;0,00;0,00;0,00
ID0025;La27-25_ Lo65-25;WS10M;A2005;0,00;0,00;0,374358974;0,615789474;0,00;0,00;0,00;0,00;0,00
ID0026;La27-25_ Lo65-25;WS10M;A2006;0,00;0,00;0,266666667;0,726315789;0,00;0,00;0,00;0,00;0,00
ID0027;La27-25_ Lo65-25;WS10M;A2007;0,00;0,00;0,415384615;0,573684211;0,00;0,00;0,00;0,00;0,00
ID0028;La27-25_ Lo65-25;WS10M;A2008;0,00;0,00;0,38974359;0,6;0,00;0,00;0,00;0,00;0,00
ID0029;La27-25_ Lo65-25;WS10M;A2009;0,00;0,00;0,364102564;0,626315789;0,00;0,00;0,00;0,00;0,00
ID0030;La27-25_ Lo65-25;WS10M;A2010;0,00;0,00;0,420512821;0,568421053;0,00;0,00;0,00;0,00;0,00
ID0031;La27-25_ Lo65-25;WS10M;A2011;0,00;0,00;0,487179487;0,5;0,00;0,00;0,00;0,00;0,00
ID0032;La27-25_ Lo65-25;WS10M;A2012;0,00;0,00;0,369230769;0,621052632;0,00;0,00;0,00;0,00;0,00
ID0033;La27-25_ Lo65-25;WS10M;A2013;0,00;0,00;0,41025641;0,578947368;0,00;0,00;0,00;0,00;0,00
ID0034;La27-25_ Lo65-25;WS10M;A2014;0,00;0,00;0,302564103;0,689473684;0,00;0,00;0,00;0,00;0,00
