"";"V1_Calma";"V2_Ventolina";"V3_BrisaMuyDebil";"V4_BrisaDebilFlojo";"V5_BrisaModerada";"V6_BrisaFresca";"V7_BrisaFuerte";"v8_VientoFuerte";"v9_Temporal";"LOCALIDAD";"PARAMETRO";"MES"
"1";"0e+00";"0.000e+00";"6.821e-01";"3.179e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo69.75";"WS50M";"enero"
"2";"0e+00";"0.000e+00";"8.718e-01";"1.282e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo69.75";"WS10M";"enero"
"3";"0e+00";"0.000e+00";"4.359e-01";"5.641e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo69.25";"WS50M";"enero"
"4";"0e+00";"0.000e+00";"5.744e-01";"4.256e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo69.25";"WS10M";"enero"
"5";"0e+00";"0.000e+00";"0.000e+00";"7.957e-01";"2.043e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo68.75";"WS50M";"enero"
"6";"0e+00";"0.000e+00";"1.231e-01";"8.769e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo68.75";"WS10M";"enero"
"7";"0e+00";"0.000e+00";"0.000e+00";"4.391e-01";"5.609e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo68.25";"WS50M";"enero"
"8";"0e+00";"0.000e+00";"0.000e+00";"9.478e-01";"5.220e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo68.25";"WS10M";"enero"
"9";"0e+00";"0.000e+00";"0.000e+00";"2.696e-01";"7.304e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo67.75";"WS50M";"enero"
"10";"0e+00";"0.000e+00";"0.000e+00";"8.348e-01";"1.652e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo67.75";"WS10M";"enero"
"11";"0e+00";"0.000e+00";"0.000e+00";"2.043e-01";"7.957e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo67.25";"WS50M";"enero"
"12";"0e+00";"0.000e+00";"0.000e+00";"8.174e-01";"1.826e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo67.25";"WS10M";"enero"
"13";"0e+00";"0.000e+00";"0.000e+00";"2.130e-01";"7.870e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo66.75";"WS50M";"enero"
"14";"0e+00";"0.000e+00";"0.000e+00";"8.913e-01";"1.087e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo66.75";"WS10M";"enero"
"15";"0e+00";"0.000e+00";"0.000e+00";"2.565e-01";"7.435e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo66.25";"WS50M";"enero"
"16";"0e+00";"0.000e+00";"0.000e+00";"9.478e-01";"5.220e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo66.25";"WS10M";"enero"
"17";"0e+00";"0.000e+00";"0.000e+00";"6.783e-01";"3.217e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo65.75";"WS50M";"enero"
"18";"0e+00";"0.000e+00";"4.410e-01";"5.590e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo65.75";"WS10M";"enero"
"19";"0e+00";"0.000e+00";"0.000e+00";"9.130e-01";"8.700e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo65.25";"WS50M";"enero"
"20";"0e+00";"0.000e+00";"6.308e-01";"3.692e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.75Lo65.25";"WS10M";"enero"
"21";"0e+00";"0.000e+00";"6.103e-01";"3.897e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo69.75";"WS50M";"enero"
"22";"0e+00";"0.000e+00";"8.154e-01";"1.846e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo69.75";"WS10M";"enero"
"23";"0e+00";"0.000e+00";"3.231e-01";"6.769e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo69.25";"WS50M";"enero"
"24";"0e+00";"0.000e+00";"4.718e-01";"5.282e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo69.25";"WS10M";"enero"
