id;V1;V2;V3;V4;V5;V6;V7;V8;V9;LOCALIDAD;PARAMETRO;ANO
I1;0;0;0.1645;0.9742;0.1269;0.001;0;0;0.0001;La31.75Lo69.75;WS50M;a1981
I2;0;0;0.0239;0.8887;0.3587;0.0065;0;0;0.0002;La31.75Lo69.75;WS50M;a1982
I3;0;0;0.161;0.9763;0.129;0.0011;0;0;0.0001;La31.75Lo69.75;WS50M;a1983
I4;0;0;0.0439;0.96;0.278;0.004;0;0;0.0002;La31.75Lo69.75;WS50M;a1984
I5;0;0;0.1645;0.9742;0.1269;0.001;0;0;0.0001;La31.75Lo69.75;WS50M;a1985
I6;0;0;0.0361;0.9398;0.3036;0.0047;0;0;0.0002;La31.75Lo69.75;WS50M;a1986
I7;0;0;0.1478;0.9838;0.1375;0.0012;0;0;0.0001;La31.75Lo69.75;WS50M;a1987
I8;0;0;0.1825;0.9626;0.1169;0.0009;0;0;0.0001;La31.75Lo69.75;WS50M;a1988
I9;0;0.0001;0.278;0.8887;0.0799;0.0005;0;0;0.0001;La31.75Lo69.75;WS50M;a1989
I10;0;0;0.1478;0.9838;0.1375;0.0012;0;0;0.0001;La31.75Lo69.75;WS50M;a1990
I11;0;0;0.1324;0.9912;0.1488;0.0013;0;0;0.0001;La31.75Lo69.75;WS50M;a1991
I12;0;0;0.0868;0.9993;0.1951;0.0021;0;0;0.0001;La31.75Lo69.75;WS50M;a1992
I13;0;0;0.1128;0.9978;0.1657;0.0016;0;0;0.0001;La31.75Lo69.75;WS50M;a1993
I14;0;0;0.0934;1;0.1867;0.002;0;0;0.0001;La31.75Lo69.75;WS50M;a1994
I15;0;0;0.1003;0.9998;0.1786;0.0018;0;0;0.0001;La31.75Lo69.75;WS50M;a1995
I16;0;0.0002;0.3523;0.8256;0.0617;0.0003;0;0;0.0001;La31.75Lo69.75;WS50M;a1996
I17;0;0;0.0747;0.9955;0.2125;0.0025;0;0;0.0001;La31.75Lo69.75;WS50M;a1997
I18;0;0.0005;0.461;0.7317;0.0435;0.0002;0;0;0;La31.75Lo69.75;WS50M;a1998
I19;0;0.0002;0.3467;0.8305;0.0629;0.0003;0;0;0.0001;La31.75Lo69.75;WS50M;a1999
I20;0;0;0.1576;0.9783;0.1311;0.0011;0;0;0.0001;La31.75Lo69.75;WS50M;a2000
I21;0;0;0.194;0.9546;0.1112;0.0008;0;0;0.0001;La31.75Lo69.75;WS50M;a2001
I22;0;0;0.1027;0.9996;0.176;0.0018;0;0;0.0001;La31.75Lo69.75;WS50M;a2002
I23;0;0;0.1543;0.9802;0.1332;0.0011;0;0;0.0001;La31.75Lo69.75;WS50M;a2003
I24;0;0;0.1901;0.9574;0.1131;0.0009;0;0;0.0001;La31.75Lo69.75;WS50M;a2004
I25;0;0;0.0911;0.9998;0.1895;0.002;0;0;0.0001;La31.75Lo69.75;WS50M;a2005
I26;0;0;0.0934;1;0.1867;0.002;0;0;0.0001;La31.75Lo69.75;WS50M;a2006
I27;0;0;0.1645;0.9742;0.1269;0.001;0;0;0.0001;La31.75Lo69.75;WS50M;a2007
I28;0;0.0001;0.2982;0.8718;0.0743;0.0004;0;0;0.0001;La31.75Lo69.75;WS50M;a2008
I29;0;0;0.1237;0.9945;0.1559;0.0015;0;0;0.0001;La31.75Lo69.75;WS50M;a2009
I30;0;0;0.1478;0.9838;0.1375;0.0012;0;0;0.0001;La31.75Lo69.75;WS50M;a2010
I31;0;0;0.1901;0.9574;0.1131;0.0009;0;0;0.0001;La31.75Lo69.75;WS50M;a2011
I32;0;0;0.1324;0.9912;0.1488;0.0013;0;0;0.0001;La31.75Lo69.75;WS50M;a2012
I33;0;0;0.151;0.982;0.1353;0.0012;0;0;0.0001;La31.75Lo69.75;WS50M;a2013
I34;0;0;0.0826;0.9984;0.2008;0.0022;0;0;0.0001;La31.75Lo69.75;WS50M;a2014
I35;0;0;0.0728;0.9945;0.2155;0.0025;0;0;0.0001;La31.75Lo69.75;WS50M;a2015
I36;0;0;0.168;0.9721;0.1248;0.001;0;0;0.0001;La31.75Lo69.75;WS50M;a2016
I37;0;0;0.0766;0.9963;0.2095;0.0024;0;0;0.0001;La31.75Lo69.75;WS50M;a2017
I38;0;0;0.1003;0.9998;0.1786;0.0018;0;0;0.0001;La31.75Lo69.75;WS50M;a2018
I39;0;0;0.1576;0.9783;0.1311;0.0011;0;0;0.0001;La31.75Lo69.75;WS50M;a2019
I40;0;0.0011;0.5461;0.6584;0.0333;0.0001;0;0;0;La31.75Lo69.75;WS10M;a1981
I41;0;0;0.21;0.9429;0.1039;0.0008;0;0;0.0001;La31.75Lo69.75;WS10M;a1982
I42;0;0.001;0.5394;0.6641;0.034;0.0001;0;0;0;La31.75Lo69.75;WS10M;a1983
I43;0;0.0001;0.2982;0.8718;0.0743;0.0004;0;0;0.0001;La31.75Lo69.75;WS10M;a1984
I44;0;0.0008;0.5129;0.6869;0.037;0.0002;0;0;0;La31.75Lo69.75;WS10M;a1985
I45;0;0.0001;0.254;0.9085;0.0874;0.0006;0;0;0.0001;La31.75Lo69.75;WS10M;a1986
I46;0;0.001;0.5328;0.6698;0.0348;0.0001;0;0;0;La31.75Lo69.75;WS10M;a1987
I47;0;0.0013;0.5729;0.6354;0.0307;0.0001;0;0;0;La31.75Lo69.75;WS10M;a1988
I48;0;0.0027;0.667;0.5547;0.0227;0.0001;0;0;0;La31.75Lo69.75;WS10M;a1989
I49;0;0.0007;0.4998;0.6982;0.0385;0.0002;0;0;0;La31.75Lo69.75;WS10M;a1990
I50;0;0.0007;0.4998;0.6982;0.0385;0.0002;0;0;0;La31.75Lo69.75;WS10M;a1991
I51;0;0.0004;0.4296;0.7589;0.048;0.0002;0;0;0;La31.75Lo69.75;WS10M;a1992
I52;0;0.0006;0.4738;0.7206;0.0418;0.0002;0;0;0;La31.75Lo69.75;WS10M;a1993
I53;0;0.0003;0.405;0.7801;0.052;0.0003;0;0;0;La31.75Lo69.75;WS10M;a1994
I54;0;0.0004;0.4172;0.7695;0.05;0.0002;0;0;0;La31.75Lo69.75;WS10M;a1995
I55;0;0.005;0.7517;0.4812;0.0169;0.0001;0;0;0;La31.75Lo69.75;WS10M;a1996
I56;0;0.0003;0.3871;0.7956;0.0551;0.0003;0;0;0;La31.75Lo69.75;WS10M;a1997
I57;0;0.0098;0.8408;0.4007;0.0119;0;0;0;0;La31.75Lo69.75;WS10M;a1998
I58;0;0.0045;0.739;0.4923;0.0177;0.0001;0;0;0;La31.75Lo69.75;WS10M;a1999
I59;0;0.0009;0.5261;0.6755;0.0355;0.0001;0;0;0;La31.75Lo69.75;WS10M;a2000
I60;0;0.0015;0.5863;0.6239;0.0294;0.0001;0;0;0;La31.75Lo69.75;WS10M;a2001
I61;0;0.0005;0.461;0.7317;0.0435;0.0002;0;0;0;La31.75Lo69.75;WS10M;a2002
I62;0;0.0009;0.5261;0.6755;0.0355;0.0001;0;0;0;La31.75Lo69.75;WS10M;a2003
I63;0;0.0015;0.5931;0.6181;0.0288;0.0001;0;0;0;La31.75Lo69.75;WS10M;a2004
I64;0;0.0004;0.4296;0.7589;0.048;0.0002;0;0;0;La31.75Lo69.75;WS10M;a2005
I65;0;0.0004;0.4234;0.7642;0.049;0.0002;0;0;0;La31.75Lo69.75;WS10M;a2006
I66;0;0.0012;0.5662;0.6412;0.0313;0.0001;0;0;0;La31.75Lo69.75;WS10M;a2007
I67;0;0.0037;0.7132;0.5148;0.0194;0.0001;0;0;0;La31.75Lo69.75;WS10M;a2008
I68;0;0.0004;0.442;0.7481;0.0462;0.0002;0;0;0;La31.75Lo69.75;WS10M;a2009
I69;0;0.0009;0.5195;0.6812;0.0362;0.0002;0;0;0;La31.75Lo69.75;WS10M;a2010
I70;0;0.0012;0.5662;0.6412;0.0313;0.0001;0;0;0;La31.75Lo69.75;WS10M;a2011
I71;0;0.0007;0.4868;0.7094;0.0401;0.0002;0;0;0;La31.75Lo69.75;WS10M;a2012
I72;0;0.0008;0.5129;0.6869;0.037;0.0002;0;0;0;La31.75Lo69.75;WS10M;a2013
