"id";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"HORMIGUERO";"SITIO";"MES";"ESPECIE_VEGETAL";"ESTADO";"ORGANO"
"ID001";0,849365816568312;0,486752255959972;0,0198410947443703;1,34381227763152e-06;2,8679750088881e-13;4,17501005585051e-19;4,69835486089801e-26;"H1";"V";"OCT";"sin";"seco";"fruto"
"ID002";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H6";"V";"OCT";"sin";"seco";"tallo"
"ID003";0,0733696513683829;0,486752255959972;0,923116346386636;0,0198410947443703;1,34381227763152e-06;9,10147076448794e-11;4,76530473529909e-16;"H9";"V";"OCT";"Y";"verde";"hoja"
"ID004";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H9";"V";"OCT";"Y";"verde";"flor"
"ID005";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H5";"V";"OCT";"sin";"seco";"tallo"
"ID006";0,849365816568312;0,486752255959972;0,0198410947443703;1,34381227763152e-06;2,8679750088881e-13;4,17501005585051e-19;4,69835486089801e-26;"H10";"M";"OCT";"AF";"verde";"hoja"
"ID007";0,960005441285478;0,278037300453194;0,00597602289500594;1,5497531357029e-07;1,26641655490942e-14;9,72098502030078e-21;5,76832996124788e-28;"H10";"M";"OCT";"sin";"seco";"tallo"
"ID008";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H10";"M";"OCT";"AQ";"seco";"tallo"
"ID009";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H10";"M";"OCT";"T";"verde";"hoja"
"ID010";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H10";"M";"OCT";"AD";"verde";"hoja"
"ID011";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H10";"M";"OCT";"AD";"verde";"flor"
"ID012";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H10";"M";"OCT";"AB";"verde";"hoja"
"ID013";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H10";"M";"OCT";"G";"verde";"hoja"
"ID014";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H10";"M";"OCT";"G";"verde";"flor"
"ID015";0,520450121020702;0,923116346386636;0,135335283236613;6,25215037748203e-05;9,10147076448794e-11;4,76530473529909e-16;1,92874984796392e-22;"H10";"M";"OCT";"AQ";"seco";"hoja"
"ID016";0,692569324205198;0,726149037073691;0,0561347628341337;9,92950430585108e-06;5,53461007170101e-12;1,5279799682873e-17;3,26102718071105e-24;"H10";"M";"OCT";"AF";"seco";"hoja"
"ID017";0,849365816568312;0,486752255959972;0,0198410947443703;1,34381227763152e-06;2,8679750088881e-13;4,17501005585051e-19;4,69835486089801e-26;"H10";"M";"OCT";"AF";"verde";"hoja"
"ID018";0,692569324205198;0,726149037073691;0,0561347628341337;9,92950430585108e-06;5,53461007170101e-12;1,5279799682873e-17;3,26102718071105e-24;"H10";"M";"OCT";"AF";"verde";"flor"
"ID019";0,960005441285478;0,278037300453194;0,00597602289500594;1,5497531357029e-07;1,26641655490942e-14;9,72098502030078e-21;5,76832996124788e-28;"H10";"M";"OCT";"sin";"seco";"tallo"
