"";"tem1.28a30.5.";"tem2.30.5a32.5.";"tem3.32.5a34.5.";"tem4.34.5a36.5.";"tem5.40a40.";"contaminancion"
"1";"2.780e-01";"8.825e-01";"3.247e-01";"2.200e-03";"7.340e-02";"BAJA"
"2";"6.000e-03";"0.000e+00";"4.390e-02";"8.825e-01";"5.205e-01";"ALTA"
"3";"5.610e-02";"4.390e-02";"8.825e-01";"3.247e-01";"2.301e-01";"ALTA"
"4";"1.980e-02";"2.200e-03";"3.247e-01";"8.825e-01";"3.604e-01";"ALTA"
"5";"3.000e-04";"0.000e+00";"0.000e+00";"4.390e-02";"8.494e-01";"ALTA"
"6";"1.500e-03";"0.000e+00";"2.200e-03";"3.247e-01";"6.926e-01";"ALTA"
"7";"1.353e-01";"3.247e-01";"8.825e-01";"4.390e-02";"1.353e-01";"BAJA"
"8";"2.780e-01";"8.825e-01";"3.247e-01";"2.200e-03";"7.340e-02";"BAJA"
"9";"6.000e-03";"0.000e+00";"4.390e-02";"8.825e-01";"5.205e-01";"BAJA"
"10";"1.353e-01";"3.247e-01";"8.825e-01";"4.390e-02";"1.353e-01";"BAJA"
"11";"6.000e-03";"0.000e+00";"4.390e-02";"8.825e-01";"5.205e-01";"ALTA"
"12";"1.500e-03";"0.000e+00";"2.200e-03";"3.247e-01";"6.926e-01";"ALTA"
"13";"1.980e-02";"2.200e-03";"3.247e-01";"8.825e-01";"3.604e-01";"ALTA"
"14";"1.980e-02";"2.200e-03";"3.247e-01";"8.825e-01";"3.604e-01";"ALTA"
"15";"5.610e-02";"4.390e-02";"8.825e-01";"3.247e-01";"2.301e-01";"BAJA"
"16";"4.868e-01";"8.825e-01";"4.390e-02";"0.000e+00";"3.670e-02";"BAJA"
"17";"2.780e-01";"8.825e-01";"3.247e-01";"2.200e-03";"7.340e-02";"BAJA"
"18";"4.868e-01";"8.825e-01";"4.390e-02";"0.000e+00";"3.670e-02";"BAJA"
"19";"5.610e-02";"4.390e-02";"8.825e-01";"3.247e-01";"2.301e-01";"ALTA"
"20";"5.610e-02";"4.390e-02";"8.825e-01";"3.247e-01";"2.301e-01";"BAJA"
"21";"2.780e-01";"8.825e-01";"3.247e-01";"2.200e-03";"7.340e-02";"BAJA"
"22";"4.868e-01";"8.825e-01";"4.390e-02";"0.000e+00";"3.670e-02";"BAJA"
"23";"1.980e-02";"2.200e-03";"3.247e-01";"8.825e-01";"3.604e-01";"ALTA"
"24";"2.780e-01";"8.825e-01";"3.247e-01";"2.200e-03";"7.340e-02";"BAJA"
"25";"5.610e-02";"4.390e-02";"8.825e-01";"3.247e-01";"2.301e-01";"BAJA"
"26";"1.980e-02";"2.200e-03";"3.247e-01";"8.825e-01";"3.604e-01";"ALTA"
"27";"1.353e-01";"3.247e-01";"8.825e-01";"4.390e-02";"1.353e-01";"BAJA"
"28";"7.261e-01";"3.247e-01";"2.200e-03";"0.000e+00";"1.690e-02";"BAJA"
"29";"4.868e-01";"8.825e-01";"4.390e-02";"0.000e+00";"3.670e-02";"BAJA"
"30";"1.980e-02";"2.200e-03";"3.247e-01";"8.825e-01";"3.604e-01";"ALTA"
"31";"6.000e-03";"0.000e+00";"4.390e-02";"8.825e-01";"5.205e-01";"ALTA"
"32";"4.868e-01";"8.825e-01";"4.390e-02";"0.000e+00";"3.670e-02";"BAJA"
"33";"1.353e-01";"3.247e-01";"8.825e-01";"4.390e-02";"1.353e-01";"BAJA"
"34";"4.868e-01";"8.825e-01";"4.390e-02";"0.000e+00";"3.670e-02";"BAJA"
"35";"5.610e-02";"4.390e-02";"8.825e-01";"3.247e-01";"2.301e-01";"ALTA"
"36";"2.780e-01";"8.825e-01";"3.247e-01";"2.200e-03";"7.340e-02";"BAJA"
"37";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"1.000e+00";"ALTA"
"38";"6.000e-03";"0.000e+00";"4.390e-02";"8.825e-01";"5.205e-01";"ALTA"
"39";"6.000e-03";"0.000e+00";"4.390e-02";"8.825e-01";"5.205e-01";"ALTA"
"40";"1.980e-02";"2.200e-03";"3.247e-01";"8.825e-01";"3.604e-01";"ALTA"
"41";"2.780e-01";"8.825e-01";"3.247e-01";"2.200e-03";"7.340e-02";"BAJA"
"42";"5.610e-02";"4.390e-02";"8.825e-01";"3.247e-01";"2.301e-01";"BAJA"
