ID;Cepa;Fecha;Lado;Area
I001;E47;F1;F;6.88
I002;E47;F1;F;5.251
I003;E47;F1;F;4.315
I004;E47;F1;F;4.597
I005;E47;F1;F;2.897
I006;E47;F1;F;3.286
I007;E47;F1;F;4.865
I008;E47;F1;F;2.617
I009;E47;F1;F;4.924
I010;E47;F1;F;3.715
I011;E47;F1;F;4.588
I012;E47;F1;D;7.209
I013;E47;F1;D;5.463
I014;E47;F1;D;7.329
I015;E47;F1;D;7.68
I016;E47;F1;D;6.73
I017;E47;F1;D;7.409
I018;E47;F1;D;7.776
I019;E47;F1;D;5.404
I020;E47;F1;D;8.13
I021;E47;F1;D;6.626
I022;E47;F1;D;7.719
I023;E47;F2;F;27.172
I024;E47;F2;F;21.954
I025;E47;F2;F;23.463
I026;E47;F2;F;23.633
I027;E47;F2;F;22.945
I028;E47;F2;F;24.253
I029;E47;F2;F;24.708
I030;E47;F2;F;18.474
I031;E47;F2;F;23.646
I032;E47;F2;F;21.77
I033;E47;F2;F;24.057
I034;E47;F2;D;30.519
I035;E47;F2;D;26.366
I036;E47;F2;D;24.541
I037;E47;F2;D;25.205
I038;E47;F2;D;23.474
I039;E47;F2;D;24.596
I040;E47;F2;D;26.936
I041;E47;F2;D;22.488
I042;E47;F2;D;25.437
I043;E47;F2;D;23.027
I044;E47;F2;D;25.11
I045;E47;F3;F;50.721
I046;E47;F3;F;50.303
I047;E47;F3;F;50.251
I048;E47;F3;F;49.295
I049;E47;F3;F;46.888
I050;E47;F3;F;48.668
I051;E47;F3;F;47.841
I052;E47;F3;F;48.541
I053;E47;F3;F;48.972
I054;E47;F3;F;47.812
I055;E47;F3;F;48.375
I056;E47;F3;D;52.976
I057;E47;F3;D;52.173
I058;E47;F3;D;50.621
I059;E47;F3;D;48.241
I060;E47;F3;D;50.335
I061;E47;F3;D;50.163
I062;E47;F3;D;49.91
I063;E47;F3;D;51.342
I064;E47;F3;D;51.291
I065;E47;F3;D;52.22
I066;E47;F3;D;52.22
I067;FLO;F1;F;2.716
I068;FLO;F1;F;3.237
I069;FLO;F1;F;3.051
I070;FLO;F1;F;3.904
I071;FLO;F1;F;3.484
I072;FLO;F1;F;2.383
I073;FLO;F1;F;3.086
I074;FLO;F1;F;2.281
I075;FLO;F1;F;2.101
I076;FLO;F1;F;1.313
I077;FLO;F1;D;2.568
I078;FLO;F1;D;3.08
I079;FLO;F1;D;3.136
I080;FLO;F1;D;3.825
I081;FLO;F1;D;3.857
I082;FLO;F1;D;2.992
I083;FLO;F1;D;3.641
I084;FLO;F1;D;2.757
I085;FLO;F1;D;2.525
I086;FLO;F1;D;1.464
I087;FLO;F2;F;12.261
I088;FLO;F2;F;17.218
I089;FLO;F2;F;16.302
I090;FLO;F2;F;17.902
I091;FLO;F2;F;16.455
I092;FLO;F2;F;12.736
I093;FLO;F2;F;15.005
I094;FLO;F2;F;12.461
I095;FLO;F2;F;13.567
I096;FLO;F2;F;7.156
I097;FLO;F2;D;13.001
I098;FLO;F2;D;18.627
I099;FLO;F2;D;17.036
I100;FLO;F2;D;18.602
I101;FLO;F2;D;17.9
I102;FLO;F2;D;15.022
I103;FLO;F2;D;16.075
I104;FLO;F2;D;13.396
I105;FLO;F2;D;14.101
I106;FLO;F2;D;7.023
I107;FLO;F3;F;29.107
I108;FLO;F3;F;42.353
I109;FLO;F3;F;37.121
I110;FLO;F3;F;35.304
I111;FLO;F3;F;42.256
I112;FLO;F3;F;32.326
I113;FLO;F3;F;18.652
I114;FLO;F3;F;13.576
I115;FLO;F3;F;29.426
I116;FLO;F3;F;10.397
I117;FLO;F3;D;30.172
I118;FLO;F3;D;42.346
I119;FLO;F3;D;39.062
I120;FLO;F3;D;40.31
I121;FLO;F3;D;41.822
I122;FLO;F3;D;33.899
I123;FLO;F3;D;21.504
I124;FLO;F3;D;15.385
I125;FLO;F3;D;32.559
I126;FLO;F3;D;11.595
I127;ECO;F1;F;5.629
I128;ECO;F1;F;4.501
I129;ECO;F1;F;4.5
I130;ECO;F1;F;4.559
I131;ECO;F1;F;3.891
I132;ECO;F1;F;4.821
I133;ECO;F1;F;4.697
I134;ECO;F1;F;5.829
I135;ECO;F1;F;4.325
I136;ECO;F1;F;4.468
I137;ECO;F1;D;5.629
I138;ECO;F1;D;4.501
I139;ECO;F1;D;4.5
I140;ECO;F1;D;4.559
I141;ECO;F1;D;3.891
I142;ECO;F1;D;4.821
I143;ECO;F1;D;4.697
I144;ECO;F1;D;5.829
I145;ECO;F1;D;4.325
I146;ECO;F1;D;4.468
I147;ECO;F2;F;18.595
I148;ECO;F2;F;15.058
I149;ECO;F2;F;14.419
I150;ECO;F2;F;14.029
I151;ECO;F2;F;17.538
I152;ECO;F2;F;16.663
I153;ECO;F2;F;16.772
I154;ECO;F2;F;18.969
I155;ECO;F2;F;12.976
I156;ECO;F2;F;11.791
I157;ECO;F2;D;23.306
I158;ECO;F2;D;20.443
I159;ECO;F2;D;18.307
I160;ECO;F2;D;19.151
I161;ECO;F2;D;23.911
I162;ECO;F2;D;23.861
I163;ECO;F2;D;21.374
I164;ECO;F2;D;23.099
I165;ECO;F2;D;18.816
I166;ECO;F2;D;19.034
I167;ECO;F3;F;41.676
I168;ECO;F3;F;37.696
I169;ECO;F3;F;28.873
I170;ECO;F3;F;28.942
